datetime,price,hour,action,soc,energy_delta,revenue
2025-09-18 02:00:00,39.22120020656192,2,HOLD,0.0,0.0,0.0
2025-09-18 03:00:00,39.50241074121984,3,HOLD,0.0,0.0,0.0
2025-09-18 04:00:00,50.2702177592122,4,HOLD,0.0,0.0,0.0
2025-09-18 05:00:00,77.55786545865438,5,HOLD,0.0,0.0,0.0
2025-09-18 06:00:00,114.67765603349984,6,HOLD,0.0,0.0,0.0
2025-09-18 07:00:00,117.2392283582929,7,HOLD,0.0,0.0,0.0
2025-09-18 08:00:00,14.11165592101563,8,CHARGE,10.0,10.0,-141.1165592101563
2025-09-18 09:00:00,0.0204516752478487,9,CHARGE,20.0,10.0,-0.204516752478487
2025-09-18 10:00:00,0.0102258376239243,10,CHARGE,30.0,10.0,-0.102258376239243
2025-09-18 11:00:00,0.0102258376239243,11,CHARGE,40.0,10.0,-0.102258376239243
2025-09-18 12:00:00,0.0,12,CHARGE,50.0,10.0,-0.0
2025-09-18 13:00:00,0.0,13,CHARGE,60.0,10.0,-0.0
2025-09-18 14:00:00,0.0,14,CHARGE,70.0,10.0,-0.0
2025-09-18 15:00:00,0.0204516752478487,15,CHARGE,80.0,10.0,-0.204516752478487
2025-09-18 16:00:00,56.758511731592215,16,HOLD,80.0,0.0,0.0
2025-09-18 17:00:00,131.64232065159038,17,DISCHARGE,70.0,-10.0,1184.7808858643134
2025-09-18 18:00:00,156.19966970544476,18,DISCHARGE,60.0,-10.0,1405.7970273490027
2025-09-18 19:00:00,244.6685039088264,19,DISCHARGE,50.0,-10.0,2202.0165351794376
2025-09-18 20:00:00,154.78850411334318,20,DISCHARGE,40.0,-10.0,1393.0965370200886
2025-09-18 21:00:00,109.99933532055444,21,DISCHARGE,30.0,-10.0,989.99401788499
2025-09-18 22:00:00,104.23196290066112,22,DISCHARGE,20.0,-10.0,938.08766610595
2025-09-18 23:00:00,88.1978495063477,23,DISCHARGE,10.0,-10.0,793.7806455571292
2025-09-19 00:00:00,74.09130650414401,0,DISCHARGE,0.0,-10.0,666.8217585372961
2025-09-19 01:00:00,71.95921935955579,1,HOLD,0.0,0.0,0.0
